"checkStatus","memo","campaignId","campaign","displayNo","number","code","id","name","category","price","exchange","effect","effectVariants","sourceAnchor"
"","","is2_phantom","IS#2 ファントムと緋き貴石","1","1","","is2_phantom_relic_001","電気ケトル","No.001〜044 生存の一助","-","","耐久値+2、希望+1","","No1"
"","","is2_phantom","IS#2 ファントムと緋き貴石","2","2","","is2_phantom_relic_002","特殊抑制機","No.001〜044 生存の一助","8","","耐久値+6","","No2"
"","","is2_phantom","IS#2 ファントムと緋き貴石","3","3","","is2_phantom_relic_003","ガーゴイルの彫像","No.001〜044 生存の一助","8","","耐久値+6","","No3"
"","","is2_phantom","IS#2 ファントムと緋き貴石","4","4","","is2_phantom_relic_004","ブラッドブルードの寝床","No.001〜044 生存の一助","12","","耐久値+8","","No4"
"","","is2_phantom","IS#2 ファントムと緋き貴石","5","5","","is2_phantom_relic_005","長命者の証","No.001〜044 生存の一助","16","","耐久値+10","","No5"
"","","is2_phantom","IS#2 ファントムと緋き貴石","6","6","","is2_phantom_relic_006","こじ開けられた道具箱","No.001〜044 生存の一助","8","","希望+4","","No6"
"","","is2_phantom","IS#2 ファントムと緋き貴石","7","7","","is2_phantom_relic_007","古い楽譜の残片","No.001〜044 生存の一助","8","","希望+4","","No7"
"","","is2_phantom","IS#2 ファントムと緋き貴石","8","8","","is2_phantom_relic_008","解約合意書","No.001〜044 生存の一助","8","","希望+4","","No8"
"","","is2_phantom","IS#2 ファントムと緋き貴石","9","9","","is2_phantom_relic_009","マスターキー","No.001〜044 生存の一助","12","","希望+6","","No9"
"","","is2_phantom","IS#2 ファントムと緋き貴石","10","10","","is2_phantom_relic_010","バンシーの口づけ","No.001〜044 生存の一助","16","","希望+8","","No10"
"","","is2_phantom","IS#2 ファントムと緋き貴石","11","11","","is2_phantom_relic_011","古びたコイン","No.001〜044 生存の一助","-","","源石錐+10","","No11"
"","","is2_phantom","IS#2 ファントムと緋き貴石","12","12","","is2_phantom_relic_012","劇団員の小物入れ","No.001〜044 生存の一助","-","","源石錐+18","","No12"
"","","is2_phantom","IS#2 ファントムと緋き貴石","13","13","","is2_phantom_relic_013","無瑕の宝玉","No.001〜044 生存の一助","-","","源石錐+25","","No13"
"","","is2_phantom","IS#2 ファントムと緋き貴石","14","14","","is2_phantom_relic_014","嘲笑うジョーカー","No.001〜044 生存の一助","8","","オペレーター1名を昇進させる（希望を消費しない）","","No14"
"","","is2_phantom","IS#2 ファントムと緋き貴石","15","15","","is2_phantom_relic_015","レディーのなでなで券","No.001〜044 生存の一助","12","","オペレーター2名を昇進させる（希望を消費しない）","","No15"
"","","is2_phantom","IS#2 ファントムと緋き貴石","16","16","","is2_phantom_relic_016","古びた鋳造物","No.001〜044 生存の一助","-","","オペレーター3名を昇進させる（希望を消費しない）","","No16"
"","","is2_phantom","IS#2 ファントムと緋き貴石","17","17","","is2_phantom_relic_017","鈍爪・典訓","No.001〜044 生存の一助","8","","【先鋒】1名を昇進させる（希望を消費しない）","","No17"
"","","is2_phantom","IS#2 ファントムと緋き貴石","18","18","","is2_phantom_relic_018","折戟・典訓","No.001〜044 生存の一助","8","","【前衛】1名を昇進させる（希望を消費しない）","","No18"
"","","is2_phantom","IS#2 ファントムと緋き貴石","19","19","","is2_phantom_relic_019","鉄衛・典訓","No.001〜044 生存の一助","8","","【重装】1名を昇進させる（希望を消費しない）","","No19"
"","","is2_phantom","IS#2 ファントムと緋き貴石","20","20","","is2_phantom_relic_020","残弩・典訓","No.001〜044 生存の一助","8","","【狙撃】1名を昇進させる（希望を消費しない）","","No20"
"","","is2_phantom","IS#2 ファントムと緋き貴石","21","21","","is2_phantom_relic_021","断杖・典訓","No.001〜044 生存の一助","8","","【術師】1名を昇進させる（希望を消費しない）","","No21"
"","","is2_phantom","IS#2 ファントムと緋き貴石","22","22","","is2_phantom_relic_022","支柱・典訓","No.001〜044 生存の一助","8","","【補助】1名を昇進させる（希望を消費しない）","","No22"
"","","is2_phantom","IS#2 ファントムと緋き貴石","23","23","","is2_phantom_relic_023","医者・典訓","No.001〜044 生存の一助","8","","【医療】1名を昇進させる（希望を消費しない）","","No23"
"","","is2_phantom","IS#2 ファントムと緋き貴石","24","24","","is2_phantom_relic_024","錆刃・典訓","No.001〜044 生存の一助","8","","【特殊】1名を昇進させる（希望を消費しない）","","No24"
"","","is2_phantom","IS#2 ファントムと緋き貴石","25","25","","is2_phantom_relic_025","地方行動方案","No.001〜044 生存の一助","12","","★4オペレーターを招集する際に消費する希望-2","","No25"
"","","is2_phantom","IS#2 ファントムと緋き貴石","26","26","","is2_phantom_relic_026","全域作戦文書","No.001〜044 生存の一助","12","","★5オペレーターを招集する際に消費する希望-2","","No26"
"","","is2_phantom","IS#2 ファントムと緋き貴石","27","27","","is2_phantom_relic_027","人事部の機密文書","No.001〜044 生存の一助","12","","★6オペレーターを招集する際に消費する希望-2","","No27"
"","","is2_phantom","IS#2 ファントムと緋き貴石","28","28","","is2_phantom_relic_028","スピーチ原稿","No.001〜044 生存の一助","-","","全てのオペレーターを招集する際に消費する希望-2","","No28"
"","","is2_phantom","IS#2 ファントムと緋き貴石","29","29","","is2_phantom_relic_029","クリムゾン劇団の半券","No.001〜044 生存の一助","12","","戦闘後25％の確率でランダムな招集券が報酬に追加される","","No29"
"","","is2_phantom","IS#2 ファントムと緋き貴石","30","30","","is2_phantom_relic_030","幸運のコイン","No.001〜044 生存の一助","8","","非戦闘スポットに入る度に、源石錐を2個獲得する","","No30"
"","","is2_phantom","IS#2 ファントムと緋き貴石","31","31","","is2_phantom_relic_031","仮面舞踏会のマスク","No.001〜044 生存の一助","12","","非戦闘スポットに入る度に、源石錐を3個獲得する","","No31"
"","","is2_phantom","IS#2 ファントムと緋き貴石","32","32","","is2_phantom_relic_032","至宝の指輪","No.001〜044 生存の一助","16","","戦闘勝利報酬の源石錐獲得量+50%","","No32"
"","","is2_phantom","IS#2 ファントムと緋き貴石","33","33","","is2_phantom_relic_033","ヴィクトリア「鉄屑」勲章","No.001〜044 生存の一助","8","","戦闘勝利時の指揮経験値の獲得量+20%","","No33"
"","","is2_phantom","IS#2 ファントムと緋き貴石","34","34","","is2_phantom_relic_034","リターニア栄誉勲章","No.001〜044 生存の一助","12","","戦闘勝利時の指揮経験値の獲得量+30%","","No34"
"","","is2_phantom","IS#2 ファントムと緋き貴石","35","35","","is2_phantom_relic_035","錆びたハンマー","No.001〜044 生存の一助","12","","行商人の店の商品の値段-50%","","No35"
"","","is2_phantom","IS#2 ファントムと緋き貴石","36","36","","is2_phantom_relic_036","四つ葉の化石","No.001〜044 生存の一助","16","","戦闘終了後、獲得できる秘宝の選択肢が一つ増える","","No36"
"","","is2_phantom","IS#2 ファントムと緋き貴石","37","37","","is2_phantom_relic_037","突撃協議拡充","No.001〜044 生存の一助","8","","行商人の店で購入、あるいは戦闘勝利報酬として出現する招集券【先鋒】が上級人員派遣書になる","","No37"
"","","is2_phantom","IS#2 ファントムと緋き貴石","38","38","","is2_phantom_relic_038","突撃協議増援","No.001〜044 生存の一助","8","","行商人の店で購入、あるいは戦闘でドロップする招集券【前衛】が上級人員派遣書になる","","No38"
"","","is2_phantom","IS#2 ファントムと緋き貴石","39","39","","is2_phantom_relic_039","要塞協議拡充","No.001〜044 生存の一助","8","","行商人の店で購入、あるいは戦闘でドロップする招集券【重装】が上級人員派遣書になる","","No39"
"","","is2_phantom","IS#2 ファントムと緋き貴石","40","40","","is2_phantom_relic_040","要塞協議増援","No.001〜044 生存の一助","8","","行商人の店で購入、あるいは戦闘でドロップする招集券【補助】が上級人員派遣書になる","","No40"
"","","is2_phantom","IS#2 ファントムと緋き貴石","41","41","","is2_phantom_relic_041","援護協議拡充","No.001〜044 生存の一助","8","","行商人の店で購入、あるいは戦闘でドロップする招集券【医療】が上級人員派遣書になる","","No41"
"","","is2_phantom","IS#2 ファントムと緋き貴石","42","42","","is2_phantom_relic_042","援護協議増援","No.001〜044 生存の一助","8","","行商人の店で購入、あるいは戦闘でドロップする招集券【狙撃】が上級人員派遣書になる","","No42"
"","","is2_phantom","IS#2 ファントムと緋き貴石","43","43","","is2_phantom_relic_043","破壊協議拡充","No.001〜044 生存の一助","8","","行商人の店で購入、あるいは戦闘でドロップする招集券【術師】が上級人員派遣書になる","","No43"
"","","is2_phantom","IS#2 ファントムと緋き貴石","44","44","","is2_phantom_relic_044","破壊協議増援","No.001〜044 生存の一助","8","","行商人の店で購入、あるいは戦闘でドロップする招集券【特殊】が上級人員派遣書になる","","No44"
"","","is2_phantom","IS#2 ファントムと緋き貴石","45","45","","is2_phantom_relic_045","「サイレント・スクワッド」","No.045〜092 闘争の爪牙","-","","味方全員の攻撃力と防御力+35%、最大HP+45%","","No45"
"","","is2_phantom","IS#2 ファントムと緋き貴石","46","46","","is2_phantom_relic_046","裂けた拘束ベルト","No.045〜092 闘争の爪牙","8","","敵全員の攻撃力-7%","","No46"
